chemistry,feature,fold,seed,temperature,mae,rmse,source
LFP,G0,DST,6,40.0,1.5585029529722636,2.4396426426993583,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,6,50.0,1.4456772788183478,2.164923172071198,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,7,-10.0,3.062235368584721,4.248714604983786,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,7,0.0,2.848830828511577,4.140156649273476,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,7,10.0,2.4314261961247774,3.806668393166366,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,7,20.0,2.120128439121546,3.290157008352821,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,7,25.0,1.7336890400718317,2.854895768907602,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,7,30.0,1.5971133583470396,2.623791987775356,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,7,40.0,1.2992660773997855,2.100475231259759,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,7,50.0,1.203855828345023,1.7734029681043866,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,8,-10.0,4.077921469323159,5.537007029342137,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,8,0.0,3.5387786713126825,5.164809984810075,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,8,10.0,3.029607753295204,4.643526433762632,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,8,20.0,2.609717448223778,3.982433081743147,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,8,25.0,2.196294053816896,3.5683689755219112,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,8,30.0,2.0557163694265843,3.2896093429073128,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,8,40.0,1.579851405240562,2.603721400887148,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,8,50.0,1.2944625264796066,2.0433539386341004,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,9,-10.0,3.5820164721469823,4.83891199524339,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,9,0.0,3.221719330387519,4.662038792092782,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,9,10.0,2.768970677734286,4.237605695140226,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
