feature,fold,seed,temperature,mae,rmse
T7,FUDS,2,30.0,1.0690582399676425,1.40935026965267
T7,FUDS,2,40.0,1.0157454297241422,1.3867467281653794
T7,FUDS,2,50.0,1.2535610619713278,1.660830938483802
T7,US06,0,-10.0,0.7474605882788526,0.8686031136055554
T7,US06,0,0.0,1.4594521169139285,1.7777565820739545
T7,US06,0,10.0,1.115540039030744,1.5086644763179438
T7,US06,0,20.0,1.3879832785953516,1.823806141202007
T7,US06,0,25.0,1.8012153943563791,2.234142291900844
T7,US06,0,30.0,1.1798677591219335,1.5619125562200251
T7,US06,0,40.0,0.9814169795014136,1.2747009127950557
T7,US06,0,50.0,0.7823547598617407,1.07083430997398
T7,US06,1,-10.0,0.5853935884405094,0.7417669948298067
T7,US06,1,0.0,1.1759598514457754,1.3778763870206925
T7,US06,1,10.0,0.6990649396426543,0.9181528466753536
T7,US06,1,20.0,0.6558264497597386,0.8107783360172739
T7,US06,1,25.0,0.94580132628564,1.1374541003339145
T7,US06,1,30.0,0.7499064710626118,0.9651528373597764
T7,US06,1,40.0,0.8979934542174066,1.2430413822825583
T7,US06,1,50.0,1.0354373882566026,1.4951858919098675
T7,US06,2,-10.0,0.5145201138330436,0.6799278931252797
T7,US06,2,0.0,1.1083537812488446,1.481942668537801
T7,US06,2,10.0,0.6349843378068434,0.8508659218245616
T7,US06,2,20.0,0.6037393779297923,0.8004278995528122
T7,US06,2,25.0,0.91548728059328,1.1455163150189682
T7,US06,2,30.0,0.5894480412698694,0.794842694980117
T7,US06,2,40.0,0.6713725161266797,0.8917316580777898
T7,US06,2,50.0,0.6759881772239131,0.926525662209303
