method,init,condition,profile,temperature_C,aggregation,mae,rmse,recovery_time_s,recovered,residual_error_1800s_pp,mean_lambda,inflated_fraction,diverged,n_samples,lambda_min,nis_threshold,nis_ema_beta
hysteresis_2rc_ekf,oracle,DST_0C,DST,0.0,condition,0.17885762582373094,0.20194628630287087,0.0,1.0,-0.09989901206911567,1.0,0.0,False,6671,,,
hysteresis_2rc_ekf,minus5pp,DST_0C,DST,0.0,condition,1.2742557534668921,1.2877202093993392,5.03026299999965,1.0,-1.1299747404380223,1.0,0.0,False,6671,,,
hysteresis_2rc_ekf,minus10pp,DST_0C,DST,0.0,condition,8.770302327251676,8.852665605651573,,0.0,-8.091063146432997,1.0,0.0,False,6671,,,
hysteresis_2rc_ekf,oracle,FUDS_0C,FUDS,0.0,condition,0.3886753816555126,0.3924426719938288,0.0,1.0,-0.41117975999604983,1.0,0.0,False,6965,,,
hysteresis_2rc_ekf,minus5pp,FUDS_0C,FUDS,0.0,condition,1.7786762572953834,1.8778916842613627,46.11309999999867,1.0,-1.6821185178884757,1.0,0.0,False,6965,,,
hysteresis_2rc_ekf,minus10pp,FUDS_0C,FUDS,0.0,condition,5.4680936223806995,5.584506267869305,,0.0,-5.170949466238439,1.0,0.0,False,6965,,,
hysteresis_2rc_ekf,oracle,US06_0C,US06,0.0,condition,0.04770494272540057,0.05223318949525165,0.0,1.0,-0.04571343872642464,1.0,0.0,False,6234,,,
hysteresis_2rc_ekf,minus5pp,US06_0C,US06,0.0,condition,2.000952196570208,2.001194103272305,,0.0,-2.0153197252911648,1.0,0.0,False,6234,,,
hysteresis_2rc_ekf,minus10pp,US06_0C,US06,0.0,condition,8.021598131557239,8.033223295739125,,0.0,-8.245684251499396,1.0,0.0,False,6234,,,
hysteresis_2rc_ekf,oracle,DST_10C,DST,10.0,condition,0.2628451231296783,0.6164227813411853,0.0,1.0,-0.02203223196973747,1.0,0.0,False,7031,,,
hysteresis_2rc_ekf,minus5pp,DST_10C,DST,10.0,condition,1.4270274649517767,1.5490929604487462,3.0221270000001823,1.0,-1.1300203336787162,1.0,0.0,False,7031,,,
hysteresis_2rc_ekf,minus10pp,DST_10C,DST,10.0,condition,9.068721465746869,9.117631543349624,,0.0,-9.498993768121123,1.0,0.0,False,7031,,,
hysteresis_2rc_ekf,oracle,FUDS_10C,FUDS,10.0,condition,0.3328022377541704,0.357755376320753,0.0,1.0,-0.2403871255962864,1.0,0.0,False,7021,,,
hysteresis_2rc_ekf,minus5pp,FUDS_10C,FUDS,10.0,condition,1.5982208610319317,1.6188297752714502,38.11801999999807,1.0,-1.5532935820162797,1.0,0.0,False,7021,,,
hysteresis_2rc_ekf,minus10pp,FUDS_10C,FUDS,10.0,condition,2.354839416058032,2.3731801454308576,,0.0,-2.2874066940406057,1.0,0.0,False,7021,,,
hysteresis_2rc_ekf,oracle,US06_10C,US06,10.0,condition,0.05662146928504111,0.06969489982009446,0.0,1.0,-0.05997474105076117,1.0,0.0,False,6727,,,
hysteresis_2rc_ekf,minus5pp,US06_10C,US06,10.0,condition,1.8541412464295262,1.855406395306545,,0.0,-1.890417110360454,1.0,0.0,False,6727,,,
hysteresis_2rc_ekf,minus10pp,US06_10C,US06,10.0,condition,7.225174028217886,7.236239419883172,,0.0,-7.226903982489441,1.0,0.0,False,6727,,,
hysteresis_2rc_ekf,oracle,DST_20C,DST,20.0,condition,0.4402932017269981,0.6569384475356991,0.0,1.0,-0.23252936305417915,1.0,0.0,False,7254,,,
hysteresis_2rc_ekf,minus5pp,DST_20C,DST,20.0,condition,1.225805018454258,1.3180143968007494,2.0132260000000315,1.0,-0.9925457957105865,1.0,0.0,False,7254,,,
hysteresis_2rc_ekf,minus10pp,DST_20C,DST,20.0,condition,7.158864654666554,7.214567898630322,,0.0,-7.352984593577649,1.0,0.0,False,7254,,,
hysteresis_2rc_ekf,oracle,FUDS_20C,FUDS,20.0,condition,0.30969827129535826,0.374133554783217,0.0,1.0,-0.2068864946193738,1.0,0.0,False,7249,,,
hysteresis_2rc_ekf,minus5pp,FUDS_20C,FUDS,20.0,condition,1.3879378029602372,1.420707879977451,55.1455599999972,1.0,-1.2676700576593425,1.0,0.0,False,7249,,,
hysteresis_2rc_ekf,minus10pp,FUDS_20C,FUDS,20.0,condition,1.8317702370287487,1.8670389836737193,,0.0,-1.6652151169719964,1.0,0.0,False,7249,,,
hysteresis_2rc_ekf,oracle,US06_20C,US06,20.0,condition,0.035310210282073824,0.04360504716404385,0.0,1.0,0.00901963499303493,1.0,0.0,False,6849,,,
hysteresis_2rc_ekf,minus5pp,US06_20C,US06,20.0,condition,1.4447766294456719,1.4451570310757378,15.04142000000138,1.0,-1.46978203605862,1.0,0.0,False,6849,,,
hysteresis_2rc_ekf,minus10pp,US06_20C,US06,20.0,condition,8.574440192285767,8.591055354732934,,0.0,-8.736014065119724,1.0,0.0,False,6849,,,
hysteresis_2rc_ekf,oracle,DST_25C,DST,25.0,condition,0.39246276814055275,0.5103648649222714,0.0,1.0,-0.26187330686713306,1.0,0.0,False,7319,,,
hysteresis_2rc_ekf,minus5pp,DST_25C,DST,25.0,condition,1.0445343871340629,1.0813623082953547,1.0010490000004213,1.0,-0.9087030292906251,1.0,0.0,False,7319,,,
hysteresis_2rc_ekf,minus10pp,DST_25C,DST,25.0,condition,7.663364011902191,7.762856702970884,,0.0,-8.074811757301337,1.0,0.0,False,7319,,,
hysteresis_2rc_ekf,oracle,FUDS_25C,FUDS,25.0,condition,0.33625605767542655,0.4232382433804173,0.0,1.0,-0.20417473176208567,1.0,0.0,False,7323,,,
