fold_holdout,trial_id,selected,objective_training_slice_unweighted_mae_pct,oracle_training_mae_pct,minus5pp_training_mae_pct,minus10pp_training_mae_pct,minus5pp_recovered_fraction,minus10pp_recovered_fraction,diverged_runs,training_profiles,training_files_sha256,n_training_records,n_training_runs,heldout_files_passed_to_selection,heldout_file_count,lambda_min,nis_threshold,nis_ema_beta
FUDS,15,False,15.839341426948025,0.3036286109228912,1.344516760497536,45.86987890942365,0.9375,0.0625,7,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.9,9.0,0.99
FUDS,16,False,28.44088298851352,25.21525148971008,32.155039305696945,27.952358170133515,0.6875,0.0625,13,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.95,1.0,0.0
FUDS,17,False,33.307077302111516,37.67139509373992,21.585727164480453,40.66410964811417,0.8125,0.0625,15,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.95,1.0,0.5
FUDS,18,False,44.6215268438962,50.12401837061991,44.39948881703293,39.34107334403577,0.5625,0.1875,21,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.95,1.0,0.9
FUDS,19,False,42.45665013449961,37.667289544597836,25.981419457530357,63.72124140137064,0.75,0.0,20,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.95,1.0,0.99
FUDS,20,False,28.57087997067372,31.44841123989786,26.182562737558584,28.081665934564715,0.75,0.125,13,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.95,2.0,0.0
FUDS,21,False,24.537615631152146,31.44784662468517,19.890762294304025,22.27423797446725,0.8125,0.0625,11,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.95,2.0,0.5
FUDS,22,False,38.67027625267309,37.662098853075385,25.993076097615656,52.355653807328224,0.75,0.0,18,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.95,2.0,0.9
FUDS,23,False,28.48664689416835,18.96907859894345,19.81420444248299,46.67665764107861,0.8125,0.0,13,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.95,2.0,0.99
FUDS,24,False,14.360545388732888,18.971568562051548,13.63773780403226,10.47232980011486,0.875,0.0,6,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.95,4.0,0.0
FUDS,25,False,14.319007780342567,18.97131669425451,13.693000898306364,10.292705748466828,0.875,0.0625,6,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.95,4.0,0.5
FUDS,26,False,8.035709869528645,0.31678709966366203,7.4794024639143135,16.31094004500796,0.875,0.0625,3,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.95,4.0,0.9
FUDS,27,False,12.005178546075634,0.3036288490008267,1.344516760497536,34.367390028728536,0.9375,0.125,5,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.95,4.0,0.99
FUDS,28,False,1.990142018833305,0.3037356333010892,1.3311619947045508,4.335528428494275,1.0,0.0625,0,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.95,9.0,0.0
FUDS,29,True,1.981830316763783,0.3033314342545355,1.33326969840297,4.308889817633844,1.0,0.0625,0,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.95,9.0,0.5
FUDS,30,False,6.017061046504149,0.3037156197734929,1.3452892667391811,16.40217825299977,0.9375,0.125,2,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.95,9.0,0.9
