chemistry,feature,fold,seed,temperature_C,mae_torch_pct,mae_onnx_pct
LFP,G4,DST,0,20,0.4296804983891374,0.4296809281276158
LFP,G4,DST,0,25,0.40965148692484676,0.4096517662325461
LFP,G4,DST,0,30,0.49273645322597015,0.49273657908241547
LFP,G4,DST,0,40,0.5824978049005656,0.5824977518943733
LFP,G4,DST,0,50,0.6289791021122277,0.6289791899567332
LFP,G4,DST,1,-10,0.704492347054683,0.704493079730689
LFP,G4,DST,1,0,0.47627900145674673,0.47627936577684726
LFP,G4,DST,1,10,0.40590545008369167,0.40590606358299997
LFP,G4,DST,1,20,0.4010292797692784,0.4010299350755651
LFP,G4,DST,1,25,0.3076068419007213,0.30760744489995845
LFP,G4,DST,1,30,0.33885499967617216,0.3388555465997959
LFP,G4,DST,1,40,0.45186472176084086,0.4518647072817147
LFP,G4,DST,1,50,0.5814825482143995,0.5814825591164628
LFP,G4,DST,2,-10,0.6665687443122063,0.666569199744067
LFP,G4,DST,2,0,0.449539624175342,0.44954010777621123
LFP,G4,DST,2,10,0.3760540493634255,0.37605459016897347
LFP,G4,DST,2,20,0.35161041659074277,0.3516109934612407
LFP,G4,DST,2,25,0.3140085775807631,0.3140090206047658
LFP,G4,DST,2,30,0.3747714994504362,0.37477167374422393
LFP,G4,DST,2,40,0.4969712645612205,0.4969712725688068
LFP,G4,DST,2,50,0.6273072006936912,0.6273072126759128
LFP,G4,FUDS,0,-10,0.9175452874792331,0.9175448426447109
LFP,G4,FUDS,0,0,0.5027678121604823,0.5027675370292074
LFP,G4,FUDS,0,10,0.4514427710050785,0.45144232870312834
LFP,G4,FUDS,0,20,0.4399693842926296,0.4399694193922747
LFP,G4,FUDS,0,25,0.45152536227054246,0.4515250672181906
LFP,G4,FUDS,0,30,0.5422581194332288,0.5422584341968405
LFP,G4,FUDS,0,40,0.6261906012781453,0.6261907691116517
LFP,G4,FUDS,0,50,0.7517690788885378,0.7517691888744715
LFP,G4,FUDS,1,-10,0.9690950930165358,0.9690947802008409
LFP,G4,FUDS,1,0,0.5625006283733671,0.5625005567023118
LFP,G4,FUDS,1,10,0.5945652946356292,0.594565209899999
LFP,G4,FUDS,1,20,0.4365512845999269,0.4365512837776805
LFP,G4,FUDS,1,25,0.43251705571617566,0.43251696582695054
LFP,G4,FUDS,1,30,0.40516942965747627,0.40516978899161554
LFP,G4,FUDS,1,40,0.47162111690407393,0.47162144950337515
LFP,G4,FUDS,1,50,0.579033258578395,0.5790334618812503
LFP,G4,FUDS,2,-10,1.1136786440097584,1.1136783608850447
