chemistry,method,init_condition,precision,fold,temperature_C,mae_pct,rmse_pct,n_points,status,reason
LFP,2rc_ukf,oracle,fp64,FUDS,50,13.923308419754784,MISSING_not_recorded,7565,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,FUDS,-10,0.0515213746610518,MISSING_not_recorded,5621,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,FUDS,0,0.400140770838825,MISSING_not_recorded,6965,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,FUDS,10,0.2679621178257792,MISSING_not_recorded,7021,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,FUDS,20,0.2910670745610172,MISSING_not_recorded,7249,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,FUDS,25,0.3583018090199575,MISSING_not_recorded,7323,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,FUDS,30,0.2368756636201748,MISSING_not_recorded,7397,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,FUDS,40,0.4216158126764353,MISSING_not_recorded,7529,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,FUDS,50,0.1687464475834608,MISSING_not_recorded,7565,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,US06,-10,0.0893225392565956,MISSING_not_recorded,5051,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,US06,0,0.0479818957285924,MISSING_not_recorded,6234,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,US06,10,0.0563611926434108,MISSING_not_recorded,6727,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,US06,20,0.0354255700913647,MISSING_not_recorded,6849,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,US06,25,0.033473800969384,MISSING_not_recorded,6908,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,US06,30,0.045461621658077,MISSING_not_recorded,6953,PASS,actual MCU precision; no precision relabeling or mixed aggregation
