chemistry,feature,fold,seed,record_file,precision,n_compared,max_abs_diff_pct,mean_abs_diff_pct,p99_abs_diff_pct,max_diff_index,status
LFP,T7,DST,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_DST.csv,fp32,22,1.1920928943975896e-05,2.980232239778825e-06,1.0669231406024157e-05,63,PASS_partial_record_22_outputs
LFP,T7,DST,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_DST.csv,fp32,22,1.1920928966180355e-05,4.605813462439783e-06,1.1920928966180355e-05,51,PASS_partial_record_22_outputs
LFP,T7,DST,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_DST.csv,fp32,22,1.7881393443719418e-05,4.33488325891528e-06,1.662969590110474e-05,63,PASS_partial_record_22_outputs
LFP,T7,DST,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_DST.csv,fp32,22,1.1920928955078123e-05,3.793022854389508e-06,1.0669231417126383e-05,50,PASS_partial_record_22_outputs
LFP,T7,DST,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_DST.csv,fp32,22,1.1920928943975896e-05,3.7930228523709206e-06,1.0669231408355625e-05,56,PASS_partial_record_22_outputs
LFP,T7,FUDS,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_FUDS.csv,fp32,22,1.1920928966180355e-05,4.334883259924573e-06,1.1920928961517419e-05,49,PASS_partial_record_22_outputs
LFP,T7,FUDS,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_FUDS.csv,fp32,22,1.1920928966180355e-05,5.4186040689761166e-06,1.1920928963848887e-05,50,PASS_partial_record_22_outputs
LFP,T7,FUDS,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_FUDS.csv,fp32,22,1.1920928955078123e-05,4.334883259419926e-06,1.1920928952746655e-05,56,PASS_partial_record_22_outputs
LFP,T7,FUDS,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_FUDS.csv,fp32,22,1.1920928955078123e-05,3.7930228498476866e-06,1.0669231417126383e-05,55,PASS_partial_record_22_outputs
LFP,T7,FUDS,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_FUDS.csv,fp32,22,1.1920928955078123e-05,5.9604644775390625e-06,1.1920928955078123e-05,53,PASS_partial_record_22_outputs
LFP,T7,FUDS,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_FUDS.csv,fp32,22,1.1920928943975896e-05,2.7093020377682624e-06,1.0669231408355625e-05,68,PASS_partial_record_22_outputs
LFP,T7,FUDS,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_FUDS.csv,fp32,22,1.1920928955078123e-05,2.980232242806706e-06,1.0669231417126383e-05,64,PASS_partial_record_22_outputs
LFP,T7,FUDS,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_FUDS.csv,fp32,22,1.1920928955078123e-05,3.793022853884861e-06,1.1920928952746655e-05,49,PASS_partial_record_22_outputs
LFP,T7,FUDS,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_FUDS.csv,fp32,22,1.1920928943975896e-05,3.5220926468278306e-06,1.0669231408355625e-05,59,PASS_partial_record_22_outputs
