chemistry,holdout,temperature_C,seed,record,reset_index,reset_soc_true,reset_band,time_to_1pct_s,recovered
LFP,FUDS,0.0,0,LFP_0C_FUDS.csv,4315,43.556616,35to65,1778.2490100000068,True
LFP,FUDS,0.0,0,LFP_0C_FUDS.csv,4389,40.384054000000006,35to65,2269.0916099999968,True
LFP,FUDS,0.0,0,LFP_0C_FUDS.csv,5418,29.711729999999996,le35,443.5533199999991,True
LFP,FUDS,0.0,0,LFP_0C_FUDS.csv,6514,14.766915,le35,,False
LFP,FUDS,0.0,0,LFP_0C_FUDS.csv,6517,14.766923000000002,le35,,False
LFP,FUDS,0.0,1,LFP_0C_FUDS.csv,1141,84.172016,gt65,2946.319289999999,True
LFP,FUDS,0.0,1,LFP_0C_FUDS.csv,2059,71.80508,gt65,1985.525769999996,True
LFP,FUDS,0.0,1,LFP_0C_FUDS.csv,2345,67.84964,gt65,1982.258310000001,True
LFP,FUDS,0.0,1,LFP_0C_FUDS.csv,4161,46.465454,35to65,49.17152999999962,True
LFP,FUDS,0.0,1,LFP_0C_FUDS.csv,4315,43.556616,35to65,1821.3654700000043,True
LFP,FUDS,0.0,1,LFP_0C_FUDS.csv,4389,40.384054000000006,35to65,2631.022419999995,True
LFP,FUDS,0.0,1,LFP_0C_FUDS.csv,5418,29.711729999999996,le35,443.5533199999991,True
LFP,FUDS,0.0,1,LFP_0C_FUDS.csv,6514,14.766915,le35,,False
LFP,FUDS,0.0,1,LFP_0C_FUDS.csv,6517,14.766923000000002,le35,,False
LFP,FUDS,0.0,2,LFP_0C_FUDS.csv,1141,84.172016,gt65,2906.1864899999996,True
LFP,FUDS,0.0,2,LFP_0C_FUDS.csv,2059,71.80508,gt65,1862.108519999998,True
LFP,FUDS,0.0,2,LFP_0C_FUDS.csv,2345,67.84964,gt65,1974.257099999999,True
LFP,FUDS,0.0,2,LFP_0C_FUDS.csv,4161,46.465454,35to65,49.17152999999962,True
LFP,FUDS,0.0,2,LFP_0C_FUDS.csv,4315,43.556616,35to65,1660.8429100000067,True
LFP,FUDS,0.0,2,LFP_0C_FUDS.csv,4389,40.384054000000006,35to65,1874.6171499999991,True
LFP,FUDS,0.0,2,LFP_0C_FUDS.csv,5418,29.711729999999996,le35,330.14105999999447,True
LFP,FUDS,0.0,2,LFP_0C_FUDS.csv,6514,14.766915,le35,438.85397000000376,True
LFP,FUDS,0.0,2,LFP_0C_FUDS.csv,6517,14.766923000000002,le35,429.8139200000005,True
LFP,FUDS,10.0,0,LFP_10C_FUDS.csv,1208,83.346224,gt65,2838.8806800000016,True
LFP,FUDS,10.0,0,LFP_10C_FUDS.csv,2561,65.75593400000001,gt65,1599.285880000003,True
LFP,FUDS,10.0,0,LFP_10C_FUDS.csv,2597,65.24056,gt65,1698.6364699999976,True
LFP,FUDS,10.0,0,LFP_10C_FUDS.csv,4204,44.83129,35to65,1391.0397699999958,True
LFP,FUDS,10.0,0,LFP_10C_FUDS.csv,4342,41.298884,35to65,2124.358380000005,True
LFP,FUDS,10.0,0,LFP_10C_FUDS.csv,4423,39.625847,35to65,988.3706900000034,True
LFP,FUDS,10.0,0,LFP_10C_FUDS.csv,5649,26.274884,le35,1293.7776200000008,True
LFP,FUDS,10.0,0,LFP_10C_FUDS.csv,6441,13.918707999999999,le35,,False
LFP,FUDS,10.0,0,LFP_10C_FUDS.csv,6989,8.91318,le35,,False
