model,precision,window_index,repeat_index,cycles,clock_hz
nmc_t6plain_dst_s0,fp32,16,10,47680101,250000000
nmc_t6plain_dst_s0,fp32,16,11,47680101,250000000
nmc_t6plain_dst_s0,fp32,16,12,47680101,250000000
nmc_t6plain_dst_s0,fp32,16,13,47680101,250000000
nmc_t6plain_dst_s0,fp32,16,14,47680101,250000000
nmc_t6plain_dst_s0,fp32,16,15,47680101,250000000
nmc_t6plain_dst_s0,fp32,17,0,47675169,250000000
nmc_t6plain_dst_s0,fp32,17,1,47675123,250000000
nmc_t6plain_dst_s0,fp32,17,2,47675123,250000000
nmc_t6plain_dst_s0,fp32,17,3,47675123,250000000
nmc_t6plain_dst_s0,fp32,17,4,47675123,250000000
nmc_t6plain_dst_s0,fp32,17,5,47675123,250000000
nmc_t6plain_dst_s0,fp32,17,6,47675123,250000000
nmc_t6plain_dst_s0,fp32,17,7,47675123,250000000
nmc_t6plain_dst_s0,fp32,17,8,47675123,250000000
nmc_t6plain_dst_s0,fp32,17,9,47675123,250000000
nmc_t6plain_dst_s0,fp32,17,10,47675123,250000000
nmc_t6plain_dst_s0,fp32,17,11,47675123,250000000
nmc_t6plain_dst_s0,fp32,17,12,47675123,250000000
nmc_t6plain_dst_s0,fp32,17,13,47675123,250000000
nmc_t6plain_dst_s0,fp32,17,14,47675123,250000000
nmc_t6plain_dst_s0,fp32,17,15,47675123,250000000
nmc_t6plain_dst_s0,fp32,18,0,47633828,250000000
nmc_t6plain_dst_s0,fp32,18,1,47633782,250000000
nmc_t6plain_dst_s0,fp32,18,2,47633782,250000000
nmc_t6plain_dst_s0,fp32,18,3,47633782,250000000
nmc_t6plain_dst_s0,fp32,18,4,47633782,250000000
nmc_t6plain_dst_s0,fp32,18,5,47633782,250000000
nmc_t6plain_dst_s0,fp32,18,6,47633782,250000000
nmc_t6plain_dst_s0,fp32,18,7,47633782,250000000
nmc_t6plain_dst_s0,fp32,18,8,47633782,250000000
nmc_t6plain_dst_s0,fp32,18,9,47633782,250000000
nmc_t6plain_dst_s0,fp32,18,10,47633782,250000000
nmc_t6plain_dst_s0,fp32,18,11,47633782,250000000
nmc_t6plain_dst_s0,fp32,18,12,47633782,250000000
nmc_t6plain_dst_s0,fp32,18,13,47633782,250000000
nmc_t6plain_dst_s0,fp32,18,14,47633782,250000000
nmc_t6plain_dst_s0,fp32,18,15,47633782,250000000
nmc_t6plain_dst_s0,fp32,19,0,47673537,250000000
nmc_t6plain_dst_s0,fp32,19,1,47673491,250000000
nmc_t6plain_dst_s0,fp32,19,2,47673491,250000000
nmc_t6plain_dst_s0,fp32,19,3,47673491,250000000
nmc_t6plain_dst_s0,fp32,19,4,47673491,250000000
nmc_t6plain_dst_s0,fp32,19,5,47673491,250000000
nmc_t6plain_dst_s0,fp32,19,6,47673491,250000000
nmc_t6plain_dst_s0,fp32,19,7,47673491,250000000
nmc_t6plain_dst_s0,fp32,19,8,47673491,250000000
nmc_t6plain_dst_s0,fp32,19,9,47673491,250000000
nmc_t6plain_dst_s0,fp32,19,10,47673491,250000000
nmc_t6plain_dst_s0,fp32,19,11,47673491,250000000
nmc_t6plain_dst_s0,fp32,19,12,47673491,250000000
nmc_t6plain_dst_s0,fp32,19,13,47673491,250000000
nmc_t6plain_dst_s0,fp32,19,14,47673491,250000000
nmc_t6plain_dst_s0,fp32,19,15,47673491,250000000
nmc_t6plain_dst_s0,fp32,20,0,47670687,250000000
nmc_t6plain_dst_s0,fp32,20,1,47670641,250000000
nmc_t6plain_dst_s0,fp32,20,2,47670641,250000000
nmc_t6plain_dst_s0,fp32,20,3,47670641,250000000
nmc_t6plain_dst_s0,fp32,20,4,47670641,250000000
nmc_t6plain_dst_s0,fp32,20,5,47670641,250000000
