feature,fold,seed,temp,reset_trial,reset_index,time_to_recover_within_1pct_s,recovered,observation_horizon_s
T6_plain,US06,0,40.0,1,2540,2142.3412900000003,True,4616.634099999999
T6_plain,US06,0,40.0,2,3912,1355.6801500000001,True,3239.928209999998
T6_plain,US06,0,40.0,3,4473,830.9406499999996,True,2677.056919999999
T6_plain,US06,0,40.0,4,6059,780.7695799999992,True,1086.738269999998
T6_plain,US06,0,50.0,0,1530,2974.7601700000014,True,5652.643500000002
T6_plain,US06,0,50.0,1,2985,1539.8238100000026,True,4192.624340000002
T6_plain,US06,0,50.0,2,3922,1201.2135500000004,True,3252.8292900000015
T6_plain,US06,0,50.0,3,4499,907.8880499999977,True,2673.883239999999
T6_plain,US06,0,50.0,4,5508,496.595229999999,True,1661.5730299999996
T6_plain,US06,1,-10.0,0,1321,,False,3784.00417
T6_plain,US06,1,-10.0,1,1862,,False,3242.2417800000003
T6_plain,US06,1,-10.0,2,2373,,False,2729.605099999997
T6_plain,US06,1,-10.0,3,3601,49.150389999998424,True,1500.3247799999986
T6_plain,US06,1,-10.0,4,4101,,False,998.9382699999987
T6_plain,US06,1,0.0,0,1595,3507.603500000001,True,4708.136350000001
T6_plain,US06,1,0.0,1,2367,2732.737060000003,True,3933.2699100000027
T6_plain,US06,1,0.0,2,2746,2781.9306700000016,True,3553.3033300000025
T6_plain,US06,1,0.0,3,3949,1691.4854100000007,True,2344.2542100000023
T6_plain,US06,1,0.0,4,5209,871.3567200000007,True,1077.9371100000026
T6_plain,US06,1,10.0,0,1686,3414.7095800000016,True,5103.13537
T6_plain,US06,1,10.0,1,2154,3131.0951600000008,True,4633.8096799999985
T6_plain,US06,1,10.0,2,3126,1856.2800500000012,True,3659.0757300000005
T6_plain,US06,1,10.0,3,4782,1019.603799999998,True,1998.6225099999974
T6_plain,US06,1,10.0,4,5656,692.2966800000022,True,1122.5597599999992
T6_plain,US06,1,20.0,0,693,4223.126,True,6215.84186
T6_plain,US06,1,20.0,1,2182,2837.655500000002,True,4722.991950000003
T6_plain,US06,1,20.0,2,3165,1982.7214400000012,True,3738.6341600000014
T6_plain,US06,1,20.0,3,5014,1250.0422599999993,True,1886.34634
T6_plain,US06,1,20.0,4,5604,837.7358500000009,True,1294.393640000002
T6_plain,US06,1,25.0,0,1651,2881.3606099999997,True,5322.142530000001
T6_plain,US06,1,25.0,1,2778,2208.0034899999996,True,4191.43146
T6_plain,US06,1,25.0,2,3189,1939.671739999998,True,3779.42829
T6_plain,US06,1,25.0,3,5060,1066.3725799999993,True,1902.080610000001
T6_plain,US06,1,25.0,4,5502,785.6949499999982,True,1458.7304299999996
T6_plain,US06,1,30.0,0,797,3711.5418800000007,True,6224.194320000002
T6_plain,US06,1,30.0,1,2244,2285.4516500000027,True,4771.990850000002
T6_plain,US06,1,30.0,2,3152,1834.2071199999991,True,3861.4591900000014
T6_plain,US06,1,30.0,3,4965,906.5113999999994,True,2042.332730000002
T6_plain,US06,1,30.0,4,5985,463.34644000000117,True,1018.2774800000007
T6_plain,US06,1,40.0,0,897,3441.2900100000006,True,6262.881720000001
T6_plain,US06,1,40.0,1,2540,1987.707559999999,True,4616.634099999999
T6_plain,US06,1,40.0,2,3912,1069.6240999999973,True,3239.928209999998
T6_plain,US06,1,40.0,3,4473,650.3439699999981,True,2677.056919999999
T6_plain,US06,1,40.0,4,6059,444.50236999999834,True,1086.738269999998
T6_plain,US06,1,50.0,0,1530,2803.1113100000002,True,5652.643500000002
T6_plain,US06,1,50.0,1,2985,1513.7310300000026,True,4192.624340000002
T6_plain,US06,1,50.0,2,3922,1054.6635600000009,True,3252.8292900000015
T6_plain,US06,1,50.0,3,4499,802.0377499999995,True,2673.883239999999
T6_plain,US06,1,50.0,4,5508,307.2962899999993,True,1661.5730299999996
T6_plain,US06,2,-10.0,0,1321,,False,3784.00417
T6_plain,US06,2,-10.0,1,1862,,False,3242.2417800000003
T6_plain,US06,2,-10.0,2,2373,,False,2729.605099999997
T6_plain,US06,2,-10.0,3,3601,59.17047000000048,True,1500.3247799999986
T6_plain,US06,2,-10.0,4,4101,,False,998.9382699999987
T6_plain,US06,2,0.0,0,1595,3884.46501,True,4708.136350000001
T6_plain,US06,2,0.0,1,2367,3109.598570000002,True,3933.2699100000027
T6_plain,US06,2,0.0,2,2746,2761.8256600000013,True,3553.3033300000025
T6_plain,US06,2,0.0,3,3949,1928.678230000001,True,2344.2542100000023
T6_plain,US06,2,0.0,4,5209,802.0101600000016,True,1077.9371100000026
T6_plain,US06,2,10.0,0,1686,3414.7095800000016,True,5103.13537
T6_plain,US06,2,10.0,1,2154,2945.38389,True,4633.8096799999985
T6_plain,US06,2,10.0,2,3126,1797.0272900000018,True,3659.0757300000005
T6_plain,US06,2,10.0,3,4782,1035.6850300000006,True,1998.6225099999974
